LINE;PARTICLE;CYCO_SET;CONFIG;MONITOR;DATE;LABEL;DISK;PATH
XPR3;CARB;STEERING;TM;HE-030B-SFP;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR3\2022.10.24\PRC-544-*-SFP\
XPR3;CARB;STEERING;TM;CAMeretta;09/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Carbonio-9Mar2023\CarbSO2_LineX3_Size6_09-03-2023_0355\
XPR3;CARB;STEERING;TM;DDS;09/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Carbonio-9Mar2023\PRC-544-230309-0354\
XPR3;CARB;STEERING;TM;HE-030B-SFP;09/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Carbonio-9Mar2023\PRC-544-230309-0344\
XPR3;PROT;STEERING;TM;CAMeretta;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR3\2022.10.24\ProtSO1_*\
XPR3;PROT;STEERING;TM;DDS;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR3\2022.10.24\PRC-544-*-DDSF\
XPR3;PROT;STEERING;TM;HE-030B-SFP;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR3\2022.10.24\PRC-544-*-SFP\
XPR3;PROT;STEERING;TM;CAMeretta;15/02/2023;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR3\15-02-2023\ProtSO1_*\
XPR3;PROT;STEERING;TM;DDS;15/02/2023;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR3\15-02-2023\PRC-544-*\
XPR3;PROT;STEERING;TM;CAMeretta;10/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Protoni-10Mar2023\ProtSO1_*\
XPR3;PROT;STEERING;TM;DDS;10/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Protoni-10Mar2023\PRC-544-230310-0354\
XPR3;PROT;STEERING;TM;HE-030B-SFP;10/03/2023;pre_steering;K:;scambio\MGP\steering XPR-3-Protoni-10Mar2023\PRC-544-230310-0343\
;;;;;;;;RP data taking for getting green light to use XPR
XPR2;CARB;MACHINE_PHOTO;TM;CAMeretta;06/04/2022;check;K:;Area dati MD\00XPR\Recommissioning_with_beam_for_RP\2022-04-06\machine_photo_C_ISO2\CarbSO2_*\
XPR2;PROT;MACHINE_PHOTO;TM;CAMeretta;06/04/2022;check;K:;Area dati MD\00XPR\Recommissioning_with_beam_for_RP\2022-04-06\machine_photo_P_ISO2\ProtSO1_*\
XPR2;PROT;MACHINE_PHOTO;TM;DDS;06/04/2022;check;K:;Area dati MD\00XPR\Recommissioning_with_beam_for_RP\2022-04-06\machine_photo_P_ISO2\PRC-544-*-DDSF\
